Signal1,Signal2,Signal3,Signal4,Signal5
0,0,1,1,0
0.104528461,0.000685245,0.998629522,0.99912281,0.034878236
0.207911681,0.002739077,0.994521871,0.996492819,0.069586546
0.309016972,0.006155867,0.987688304,0.992114641,0.103955835
0.406736605,0.010926249,0.978147553,0.985995958,0.13781866
0.499999942,0.017037147,0.965925768,0.978147503,0.171010044
0.587785172,0.024471813,0.951056447,0.968583045,0.203368282
0.669130501,0.033209867,0.933580348,0.957319365,0.234735728
0.743144695,0.043227361,0.913545371,0.944376221,0.264959564
0.809016837,0.054496836,0.89100643,0.929776321,0.293892541
0.866025221,0.066987404,0.866025303,0.913545278,0.321393702
0.913545249,0.080664828,0.838670461,0.895711567,0.347329064
0.951056284,0.09549162,0.809016883,0.876306475,0.371572272
0.978147348,0.111427141,0.777145847,0.855364044,0.394005216
0.994521624,0.128427712,0.743144709,0.832921015,0.414518605
0.999999714,0.146446736,0.707106663,0.80901676,0.4330125
0.994521599,0.165434824,0.669130488,0.783693216,0.449396801
0.978147298,0.185339931,0.629320274,0.756994809,0.463591686
0.951056212,0.206107498,0.587785138,0.728968377,0.475527997
0.913545156,0.227680604,0.544638924,0.699663087,0.485147584
0.86602511,0.250000117,0.499999894,0.669130352,0.49240358
0.809016714,0.273004861,0.4539904,0.637423736,0.497260635
0.743144562,0.296631782,0.40673655,0.604598864,0.499695087
0.669130365,0.32081612,0.358367865,0.570713321,0.499695074
0.587785037,0.345491588,0.309016919,0.535826554,0.497260597
0.499999815,0.370590551,0.25881898,0.499999767,0.492403517
0.406736491,0.396044216,0.207911637,0.463295811,0.485147498
0.309016878,0.421782815,0.156434423,0.425779079,0.475527888
0.207911612,0.447735801,0.104528435,0.387515386,0.463591556
0.104528423,0.473832039,0.052335942,0.348571861,0.449396653
2.18E-16,0.5,-8.31E-11,0.309016824,0.433012335
-0.104528423,0.52616796,-0.052335941,0.268919668,0.414518426
-0.207911612,0.552264195,-0.104528432,0.228350737,0.394005026
-0.309016878,0.578217176,-0.156434418,0.187381202,0.371572073
-0.406736491,0.603955769,-0.207911627,0.146082939,0.347328861
-0.499999815,0.629409425,-0.258818964,0.104528397,0.321393498
-0.587785037,0.654508377,-0.309016896,0.062790479,0.293892339
-0.669130365,0.679183833,-0.358367833,0.020942406,0.264959368
-0.743144562,0.703368157,-0.406736509,-0.020942406,0.234735543
-0.809016714,0.726995062,-0.453990348,-0.062790477,0.203368111
-0.86602511,0.749999789,-0.499999831,-0.10452839,0.171009891
-0.913545156,0.772319283,-0.544638848,-0.146082924,0.13781853
-0.951056212,0.793892368,-0.587785049,-0.187381178,0.103955732
-0.978147298,0.814659914,-0.629320171,-0.2283507,0.069586473
-0.994521599,0.834564998,-0.66913037,-0.268919616,0.034878197
-0.999999714,0.853553063,-0.707106529,-0.309016755,-3.33E-10
-0.994521624,0.871572062,-0.743144558,-0.348571772,-0.034878197
-0.978147348,0.888572608,-0.777145679,-0.387515275,-0.069586469
-0.951056284,0.904508103,-0.809016699,-0.425778943,-0.103955722
-0.913545249,0.919334869,-0.838670259,-0.46329565,-0.137818512
-0.866025221,0.933012267,-0.866025083,-0.499999577,-0.171009863
-0.809016837,0.945502808,-0.891006192,-0.535826335,-0.20336807
-0.743144695,0.956772256,-0.913545116,-0.57071307,-0.234735488
-0.669130501,0.966789724,-0.933580076,-0.604598579,-0.264959297
-0.587785172,0.975527753,-0.951056158,-0.637423417,-0.29389225
-0.499999942,0.982962393,-0.965925461,-0.669129996,-0.321393389
-0.406736605,0.989073267,-0.97814723,-0.699662693,-0.347328732
-0.309016972,0.993843625,-0.987687965,-0.728967944,-0.371571923
-0.207911681,0.997260392,-0.994521517,-0.756994336,-0.394004852
-0.104528461,0.999314203,-0.998629154,-0.783692703,-0.41451823
,0.999999429,-0.999999619,-0.809016206,-0.433012115
,0.99931419,-0.998629154,-0.832920419,-0.44939641
,0.997260367,-0.994521517,-0.855363406,-0.463591289
,0.993843587,-0.987687965,-0.876305794,-0.475527599
,0.989073217,-0.97814723,-0.895710844,-0.485147186
,0.982962332,-0.965925461,-0.913544513,-0.492403184
,0.97552768,-0.951056158,-0.929775514,-0.497260244
,0.966789641,-0.933580076,-0.944375372,-0.499694702
,0.956772163,-0.913545116,-0.957318475,-0.499694698
,0.945502706,-0.891006192,-0.968582116,-0.497260231
,0.933012156,-0.866025083,-0.978146534,-0.492403163
,0.919334751,-0.838670259,-0.985994951,-0.485147157
,0.904507979,-0.809016699,-0.992113598,-0.475527562
,0.888572479,-0.777145679,-0.996491741,-0.463591246
,0.87157193,-0.743144558,-0.999121698,-0.44939636
,0.853552927,-0.707106529,-0.999998857,-0.43301206
,0.834564862,-0.66913037,-0.999121678,-0.41451817
,0.814659777,-0.629320171,-0.9964917,-0.394004789
,0.793892233,-0.587785049,-0.992113538,-0.371571856
,0.772319151,-0.544638848,-0.985994871,-0.347328664
,0.749999661,-0.499999831,-0.978146435,-0.321393321
,0.72699494,-0.453990348,-0.968581997,-0.293892183
,0.703368042,-0.406736509,-0.957318338,-0.264959231
,0.679183727,-0.358367833,-0.944375218,-0.234735426
,0.654508283,-0.309016896,-0.929775343,-0.203368013
,0.629409342,-0.258818964,-0.913544327,-0.171009812
,0.603955699,-0.207911627,-0.895710643,-0.137818468
,0.578217122,-0.156434418,-0.87630558,-0.103955687
,0.552264157,-0.104528432,-0.855363179,-0.069586444
,0.526167941,-0.052335941,-0.832920181,-0.034878184
,0.5,-8.31E-11,-0.809015958,-2.18E-16
,0.473832059,0.052335942,-0.783692447,0.034878184
,0.447735843,0.104528435,-0.756994074,0.069586444
,0.42178288,0.156434423,-0.728967677,0.103955687
,0.396044305,0.207911637,-0.699662422,0.137818468
,0.370590666,0.25881898,-0.669129723,0.171009812
,0.345491729,0.309016919,-0.637423144,0.203368013
,0.320816288,0.358367865,-0.604598308,0.234735426
,0.296631978,0.40673655,-0.570712802,0.264959231
,0.273005085,0.4539904,-0.535826072,0.293892183
,0.25000037,0.499999894,-0.499999322,0.321393321
,0.227680887,0.544638924,-0.463295404,0.347328664
,0.206107812,0.587785138,-0.425778709,0.371571856
,0.185340274,0.629320274,-0.387515053,0.394004789
,0.165435198,0.669130488,-0.348571566,0.41451817
,0.14644714,0.707106663,-0.309016565,0.43301206
,0.128428146,0.743144709,-0.268919446,0.44939636
,0.111427604,0.777145847,-0.22835055,0.463591246
,0.095492113,0.809016883,-0.187381051,0.475527562
,0.08066535,0.838670461,-0.146082822,0.485147157
,0.066987953,0.866025303,-0.104528315,0.492403163
,0.054497413,0.89100643,-0.06279043,0.497260231
,0.043227964,0.913545371,-0.02094239,0.499694698
,0.033210496,0.933580348,0.02094239,0.499694702
,0.024472465,0.951056447,0.06279043,0.497260244
,0.017037822,0.965925768,0.104528313,0.492403184
,0.010926944,0.978147553,0.146082818,0.485147186
,0.006156582,0.987688304,0.187381043,0.475527599
,0.00273981,0.994521871,0.228350538,0.463591289
,0.000685993,0.998629522,0.268919429,0.44939641
,7.62E-07,,0.309016543,0.433012115
,0.000685993,,0.348571536,0.41451823
,0.00273981,,0.387515017,0.394004852
,0.006156582,,0.425778664,0.371571923
,0.010926944,,0.463295351,0.347328732
,0.017037822,,0.499999259,0.321393389
,0.024472465,,0.535826,0.29389225
,0.033210496,,0.570712719,0.264959297
,0.043227964,,0.604598214,0.234735488
,0.054497413,,0.637423038,0.20336807
,0.066987953,,0.669129605,0.171009863
,0.08066535,,0.699662292,0.137818512
,0.095492113,,0.728967533,0.103955722
,0.111427604,,0.756993917,0.069586469
,0.128428146,,0.783692277,0.034878197
,0.14644714,,0.809015774,3.33E-10
,0.165435198,,0.832919983,-0.034878197
,0.185340274,,0.855362967,-0.069586473
,0.206107812,,0.876305353,-0.103955732
,0.227680887,,0.895710403,-0.13781853
,0.25000037,,0.913544072,-0.171009891
,0.273005085,,0.929775074,-0.203368111
,0.296631978,,0.944374935,-0.234735543
,0.320816288,,0.957318042,-0.264959368
,0.345491729,,0.968581687,-0.293892339
,0.370590666,,0.978146112,-0.321393498
,0.396044305,,0.985994536,-0.347328861
,0.42178288,,0.99211319,-0.371572073
,0.447735843,,0.996491341,-0.394005026
,0.473832059,,0.999121308,-0.414518426
,0.5,,0.999998476,-0.433012335
,0.526167941,,0.999121308,-0.449396653
,0.552264157,,0.996491341,-0.463591556
,0.578217122,,0.99211319,-0.475527888
,0.603955699,,0.985994536,-0.485147498
,0.629409342,,0.978146112,-0.492403517
,0.654508283,,0.968581687,-0.497260597
,0.679183727,,0.957318042,-0.499695074
,0.703368042,,0.944374935,-0.499695087
,0.72699494,,0.929775074,-0.497260635
,0.749999661,,0.913544072,-0.49240358
,0.772319151,,0.895710403,-0.485147584
,0.793892233,,0.876305353,-0.475527997
,0.814659777,,0.855362967,-0.463591686
,0.834564862,,0.832919983,-0.449396801
,0.853552927,,0.809015774,-0.4330125
,0.87157193,,0.783692277,-0.414518605
,0.888572479,,0.756993917,-0.394005216
,0.904507979,,0.728967533,-0.371572272
,0.919334751,,0.699662292,-0.347329064
,0.933012156,,0.669129605,-0.321393702
,0.945502706,,0.637423038,-0.293892541
,0.956772163,,0.604598214,-0.264959564
,0.966789641,,0.570712719,-0.234735728
,0.97552768,,0.535826,-0.203368282
,0.982962332,,0.499999259,-0.171010044
,0.989073217,,0.463295351,-0.13781866
,0.993843587,,0.425778664,-0.103955835
,0.997260367,,0.387515017,-0.069586546
,0.99931419,,0.348571536,-0.034878236
,0.999999429,,0.309016543,
,0.999314203,,0.268919429,
,0.997260392,,0.228350538,
,0.993843625,,0.187381043,
,0.989073267,,0.146082818,
,0.982962393,,0.104528313,
,0.975527753,,0.06279043,
,0.966789724,,0.02094239,
,0.956772256,,-0.02094239,
,0.945502808,,-0.06279043,
,0.933012267,,-0.104528315,
,0.919334869,,-0.146082822,
,0.904508103,,-0.187381051,
,0.888572608,,-0.22835055,
,0.871572062,,-0.268919446,
,0.853553063,,-0.309016565,
,0.834564998,,-0.348571566,
,0.814659914,,-0.387515053,
,0.793892368,,-0.425778709,
,0.772319283,,-0.463295404,
,0.749999789,,-0.499999322,
,0.726995062,,-0.535826072,
,0.703368157,,-0.570712802,
,0.679183833,,-0.604598308,
,0.654508377,,-0.637423144,
,0.629409425,,-0.669129723,
,0.603955769,,-0.699662422,
,0.578217176,,-0.728967677,
,0.552264195,,-0.756994074,
,0.52616796,,-0.783692447,
,0.5,,-0.809015958,
,0.473832039,,-0.832920181,
,0.447735801,,-0.855363179,
,0.421782815,,-0.87630558,
,0.396044216,,-0.895710643,
,0.370590551,,-0.913544327,
,0.345491588,,-0.929775343,
,0.32081612,,-0.944375218,
,0.296631782,,-0.957318338,
,0.273004861,,-0.968581997,
,0.250000117,,-0.978146435,
,0.227680604,,-0.985994871,
,0.206107498,,-0.992113538,
,0.185339931,,-0.9964917,
,0.165434824,,-0.999121678,
,0.146446736,,-0.999998857,
,0.128427712,,-0.999121698,
,0.111427141,,-0.996491741,
,0.09549162,,-0.992113598,
,0.080664828,,-0.985994951,
,0.066987404,,-0.978146534,
,0.054496836,,-0.968582116,
,0.043227361,,-0.957318475,
,0.033209867,,-0.944375372,
,0.024471813,,-0.929775514,
,0.017037147,,-0.913544513,
,0.010926249,,-0.895710844,
,0.006155867,,-0.876305794,
,0.002739077,,-0.855363406,
,0.000685245,,-0.832920419,
,,,-0.809016206,
,,,-0.783692703,
,,,-0.756994336,
,,,-0.728967944,
,,,-0.699662693,
,,,-0.669129996,
,,,-0.637423417,
,,,-0.604598579,
,,,-0.57071307,
,,,-0.535826335,
,,,-0.499999577,
,,,-0.46329565,
,,,-0.425778943,
,,,-0.387515275,
,,,-0.348571772,
,,,-0.309016755,
,,,-0.268919616,
,,,-0.2283507,
,,,-0.187381178,
,,,-0.146082924,
,,,-0.10452839,
,,,-0.062790477,
,,,-0.020942406,
,,,0.020942406,
,,,0.062790479,
,,,0.104528397,
,,,0.146082939,
,,,0.187381202,
,,,0.228350737,
,,,0.268919668,
,,,0.309016824,
,,,0.348571861,
,,,0.387515386,
,,,0.425779079,
,,,0.463295811,
,,,0.499999767,
,,,0.535826554,
,,,0.570713321,
,,,0.604598864,
,,,0.637423736,
,,,0.669130352,
,,,0.699663087,
,,,0.728968377,
,,,0.756994809,
,,,0.783693216,
,,,0.80901676,
,,,0.832921015,
,,,0.855364044,
,,,0.876306475,
,,,0.895711567,
,,,0.913545278,
,,,0.929776321,
,,,0.944376221,
,,,0.957319365,
,,,0.968583045,
,,,0.978147503,
,,,0.985995958,
,,,0.992114641,
,,,0.996492819,
,,,0.99912281,
